LIBMIN,CBS,PROVINCE,PMUN14,DENSITE,SURFACE,LAT,LONG
Oegstgeest,579,SouthHolland,22855,3123,7.97,52.1862262,4.4748104
Oirschot,823,NorthBrabant,17989,175,102.84,51.5044479,5.3084625
Oisterwijk,824,NorthBrabant,25835,403,65.13,51.5654243,5.2030282
Oldambt,1895,Groningen,38558,172,295.96,53.2036908,7.05297
Oldebroek,269,Gelderland,22824,233,98.84,52.4474448,5.8983168
Oldenzaal,173,Overijssel,32152,1493,21.95,52.3116551,6.9268283
Olst-Wijhe,1773,Overijssel,17760,155,118.37,52.3518964,6.1270756
Ommen,175,Overijssel,17370,97,182.01,52.5248059,6.4262926
Onderbanken,881,Limburg,7882,376,21.24,50.9698522,5.9653964
OostGelre,1586,Gelderland,29648,274,110.12,51.9901169,6.5670679
Oosterhout,826,NorthBrabant,53733,756,73.09,51.6410202,4.8616901
Ooststellingwerf,85,Friesland,25672,115,226.11,52.988319,6.2704272
Oostzaan,431,NorthHolland,9154,789,16.08,52.4404972,4.8757219
Opmeer,432,NorthHolland,11374,274,41.94,52.7053787,4.9426672
Opsterland,86,Friesland,29894,133,227.64,53.0395418,6.1153198
Oss,828,NorthBrabant,85039,555,159.87,51.7611801,5.5140482
Oud-Beijerland,584,SouthHolland,23727,1249,19.61,51.8189297,4.4272362
OudeIJsselstreek,1509,Gelderland,39614,292,137.94,51.9110456,6.4055639
Ouder-Amstel,437,NorthHolland,13255,548,25.78,52.2859289,4.9133832
Oudewater,589,Utrecht,9868,252,40.1,52.024163,4.8684168
Overbetuwe,1734,Gelderland,46653,423,115.08,51.9327749,5.7814647
Papendrecht,590,SouthHolland,32140,3380,10.79,51.8424811,4.6941834
PeelenMaas,1894,Limburg,43298,271,161.35,51.3399185,6.0122977
Pekela,765,Groningen,12733,262,50.2,53.0852407,6.9778815
Pijnacker-Nootdorp,1926,SouthHolland,51068,1341,38.61,52.0126985,4.4273555
Purmerend,439,NorthHolland,79552,3389,24.56,52.5143815,4.9640611
Putten,273,Gelderland,24044,280,87.41,52.258676,5.6053727
Raalte,177,Overijssel,36526,214,172.29,52.3798566,6.2862366
Reimerswaal,703,Zeeland,21915,213,242.42,51.4100025,4.1544478
Renkum,274,Gelderland,31577,687,47.23,51.9834947,5.7420526
Renswoude,339,Utrecht,4928,262,18.51,52.0746607,5.5381732
Reusel-DeMierden,1667,NorthBrabant,12728,162,78.64,51.3706496,5.1465549
Rheden,275,Gelderland,43563,533,84.35,52.0057368,6.0279594
Rhenen,340,Utrecht,19123,453,43.76,51.9621397,5.5711155
Ridderkerk,597,SouthHolland,45207,1904,25.26,51.8702526,4.6022335
Rijnwaarden,196,Gelderland,10926,276,48.08,51.8634009,6.1149625
Rijssen-Holten,1742,Overijssel,37696,399,94.38,52.2925057,6.439999
Rijswijk,603,SouthHolland,47680,3344,14.49,52.0376977,4.3219738
Roerdalen,1669,Limburg,20808,239,88.7,51.1391665,6.0342695
Roermond,957,Limburg,57030,923,71.1,51.1913202,5.9877715
DeRondeVenen,736,Utrecht,42648,426,116.98,52.2066804,4.8867728
Roosendaal,1674,NorthBrabant,76930,728,107.16,51.535849,4.4653213
Rotterdam,599,SouthHolland,618467,2952,325.79,51.9244201,4.4777325
Rozendaal,277,Gelderland,1500,54,27.92,52.0097855,5.9665074
Rucphen,840,NorthBrabant,22213,347,64.47,51.5335666,4.5603199
Schagen,441,NorthHolland,46016,273,187.28,52.7880912,4.8043998
Scherpenzeel,279,Gelderland,9496,679,13.81,52.0789297,5.4880645
Schiedam,606,SouthHolland,76487,4230,19.86,51.9169599,4.3988186
Schiermonnikoog,88,Friesland,938,21,199.07,53.4785962,6.1560311
Schijndel,844,NorthBrabant,23360,554,41.66,51.6196625,5.4334973
Schinnen,962,Limburg,12961,549,24.12,50.9436467,5.8793607
Schouwen-Duiveland,1676,Zeeland,33821,148,488.21,51.6803568,3.952013
Simpelveld,965,Limburg,10844,681,16.02,50.8340269,5.9826108
SintAnthonis,1702,NorthBrabant,11696,119,99.76,51.6271613,5.8851934
Sint-Michielsgestel,845,NorthBrabant,28186,481,59.34,51.6413477,5.3528807
Sint-Oedenrode,846,NorthBrabant,17944,278,64.94,51.5655457,5.4620127
Sittard-Geleen,1883,Limburg,93806,1196,80.53,51.0031681,5.8236706
Sliedrecht,610,SouthHolland,24528,1888,14.01,51.8248681,4.7731624
Slochteren,40,Groningen,15535,103,158.87,53.2122779,6.801653
Sluis,1714,Zeeland,23795,85,307.16,51.3086558,3.3879195
Smallingerland,90,Friesland,55496,469,126.17,53.1277287,6.0793452
Soest,342,Utrecht,45430,986,46.43,52.1763515,5.299197
Someren,847,NorthBrabant,18700,231,81.5,51.3849667,5.7123668
SonenBreugel,848,NorthBrabant,16241,610,26.51,51.511394,5.4982192
Stadskanaal,37,Groningen,32793,280,119.94,52.9919853,6.9462217
Staphorst,180,Overijssel,16365,121,135.69,52.6429144,6.1994944
StedeBroec,532,NorthHolland,21474,1467,16.37,52.6996021,5.2323255
Steenbergen,851,NorthBrabant,23409,159,159.14,51.5812395,4.3155991
Steenwijkerland,1708,Overijssel,43372,150,321.59,52.7415382,6.0493238
Stein,971,Limburg,25348,1211,22.62,50.9679738,5.7662196
StichtseVecht,1904,Utrecht,63823,655,106.82,52.0967441,5.1155366
Strijen,617,SouthHolland,8678,174,57.7,51.7446835,4.5539197
Súdwest-Fryslân,1900,Friesland,84258,183,841.56,53.0234158,5.4816577
Terneuzen,715,Zeeland,54711,218,317.76,51.3322854,3.8324265
Terschelling,93,Friesland,4769,55,673.99,53.3978747,5.3466786
Texel,448,NorthHolland,13566,85,463.16,53.0547626,4.7977149
Teylingen,1525,SouthHolland,35723,1250,33.49,52.2201641,4.5028148
Tholen,716,Zeeland,25398,174,254,51.5332946,4.2162383
Tiel,281,Gelderland,41729,1287,34.81,51.8876176,5.4278765
Tilburg,855,NorthBrabant,210382,1770,119.18,51.560596,5.0919143
Tubbergen,183,Overijssel,21216,144,147.44,52.4089074,6.7854892
Twenterand,1700,Overijssel,33939,319,108.14,52.4500681,6.6207448
Tynaarlo,1730,Drenthe,32506,225,147.7,53.0784318,6.6145455
Tytsjerksteradiel,737,Friesland,31980,215,161.41,53.1760382,5.9786796
Uden,856,NorthBrabant,40934,609,67.53,51.6631071,5.6239228
Uitgeest,450,NorthHolland,13242,672,22.29,52.5312254,4.7120459
Uithoorn,451,NorthHolland,28407,1552,19.42,52.2446266,4.8317337
Urk,184,Flevoland,19487,1644,109.91,52.6630533,5.5989465
Utrecht,344,Utrecht,328577,3353,99.21,52.0907374,5.1214201
UtrechtseHeuvelrug,1581,Utrecht,47939,365,134.09,52.0522029,5.2824946
Vaals,981,Limburg,9682,409,23.87,50.7732182,6.0112743
ValkenburgaandeGeul,994,Limburg,16668,461,36.92,50.8684771,5.826448
Valkenswaard,858,NorthBrabant,30353,557,56.49,51.3554957,5.4533268
Veendam,47,Groningen,27795,367,78.68,53.1062782,6.8750998
Veenendaal,345,Utrecht,63207,3222,19.72,52.0263009,5.5544309
Veere,717,Zeeland,21882,165,206.63,51.5482937,3.6660061
Veghel,860,NorthBrabant,37550,480,78.92,51.6157885,5.5392399
Veldhoven,861,NorthBrabant,44136,1383,31.93,51.4176337,5.4060209
Velsen,453,NorthHolland,67231,1503,63.05,52.4520591,4.630587
Venlo,983,Limburg,100381,800,128.99,51.3703748,6.1724031
Venray,984,Limburg,43120,263,165,51.5256257,5.9736992
Vianen,620,Utrecht,19573,499,42.39,51.9902756,5.1030332
Vlaardingen,622,SouthHolland,71059,3005,26.69,51.9120668,4.3494366
Vlagtwedde,48,Groningen,15899,97,170.55,53.0270253,7.1107879
Vlieland,96,Friesland,1097,31,315.8,53.295963,5.0683373
Vlissingen,718,Zeeland,44450,1302,344.83,51.4536672,3.5709125
Voerendaal,986,Limburg,12447,402,31.52,50.8791531,5.9311602
Voorschoten,626,SouthHolland,24941,2179,11.56,52.1237896,4.4385976
Voorst,285,Gelderland,23801,193,126.47,52.1688539,6.1435287
Vught,865,NorthBrabant,25626,770,34.44,51.653306,5.2943466
Waalre,866,NorthBrabant,16804,737,22.66,51.3878333,5.4432025
Waalwijk,867,NorthBrabant,46515,719,67.65,51.6878954,5.0574822
Waddinxveen,627,SouthHolland,25520,906,29.4,52.0312972,4.6591318
Wageningen,289,Gelderland,37511,1215,32.36,51.9691868,5.6653948
Wassenaar,629,SouthHolland,25786,506,62.37,52.1429096,4.4012129
Waterland,852,NorthHolland,17154,326,115.66,52.3946147,4.9926422
Weert,988,Limburg,48727,466,105.52,51.2439415,5.7142222
Weesp,457,NorthHolland,18231,879,21.83,52.3080507,5.0406217
Werkendam,870,NorthBrabant,26400,253,121.76,51.8081653,4.891848
WestMaasenWaal,668,Gelderland,18391,237,85.21,51.8613408,5.5017367
Westerveld,1701,Drenthe,18902,69,282.74,52.8577076,6.2960104
Westervoort,293,Gelderland,15147,2168,7.84,51.963807,5.9689837
Westland,1783,SouthHolland,103335,1282,90.58,51.9991757,4.217457
Weststellingwerf,98,Friesland,25487,117,228.45,52.8718917,6.0229188
Westvoorne,614,SouthHolland,13977,261,97.48,51.8872789,4.0844609
Wierden,189,Overijssel,23906,251,95.39,52.3582599,6.593873
Wijchen,296,Gelderland,41010,613,69.56,51.8136739,5.7528948
Wijdemeren,1696,NorthHolland,23170,487,76.36,52.2196884,5.0936663
WijkbijDuurstede,352,Utrecht,23031,485,50.25,51.9756003,5.3384495
Winsum,53,Groningen,13843,138,102.53,53.329602,6.5251767
Winterswijk,294,Gelderland,28873,210,138.81,51.9713139,6.720509
Woensdrecht,873,NorthBrabant,21654,237,91.91,51.4292475,4.3047078
Woerden,632,Utrecht,50607,560,92.92,52.0798287,4.8627239
DeWolden,1690,Drenthe,23592,106,226.35,52.6819787,6.3660394
Wormerland,880,NorthHolland,15751,407,45.18,52.5072747,4.8527996
Woudenberg,351,Utrecht,12386,329,36.82,52.0821751,5.4265952
Woudrichem,874,NorthBrabant,14407,292,51.7,51.8170069,5.0037508
Zaanstad,479,NorthHolland,150911,2007,83.24,52.4579659,4.7510425
Zaltbommel,297,Gelderland,27207,336,89.04,51.8135539,5.2507733
