LIBMIN,PMUN13,SURFACE,DENSITE,LAT,LONG
Frasco,106,25.8,4.1,46.34029,8.80201
Fraubrunnen,4841,32.0,151.4,47.0862376,7.5268739
Frauenfeld,24399,27.4,891.5,47.5535997,8.8987541
Frauenkappelen,1234,9.3,133.1,46.954311,7.3383456
Freienbach,15870,13.8,1151.7,47.2064107,8.7565933
Freienstein-Teufen,2288,8.3,272.4,47.5313791,8.5851744
Freienwil,967,4.0,241.8,47.5035705,8.3280246
Freimettigen,470,2.9,159.3,46.8679525,7.6273384
Frenkendorf,6394,4.6,1390.0,47.5035123,7.7131296
Fresens,223,1.6,141.1,46.88845,6.74714
Fribourg,37485,9.3,4030.6,46.8064773,7.1619719
Frick,5107,10.0,512.8,47.5085197,8.0186727
Froideville,2113,7.1,298.4,46.601503,6.6822073
Frutigen,6727,71.8,93.8,46.5897805,7.646887
Ftan,506,43.1,11.7,46.79216,10.24761
Füllinsdorf,4331,4.6,939.5,47.5055922,7.7298829
Fürstenau,364,1.3,275.8,46.7209001,9.4468071
Fulenbach,1686,4.5,373.0,47.277499,7.8363651
Full-Reuenthal,820,4.9,170.1,47.6031455,8.2024641
Fully,8181,37.8,216.5,46.1385386,7.1181106
Furna,198,33.3,5.9,46.9370607,9.6787277
Gachnang,3629,9.8,373.4,47.5389694,8.8529088
Gächlingen,794,7.3,111.0,47.7027587,8.4981479
Gänsbrunnen,99,11.4,8.7,47.2630468,7.4683316
Gais,3052,21.2,143.8,47.3621531,9.4524457
Gaiserwald,8033,12.7,634.5,47.440205,9.3478461
Galgenen,5019,13.3,377.9,47.1806828,8.875679
Galmiz,636,9.1,70.2,46.9489963,7.1578548
Gals,731,7.9,93.0,47.0281883,7.050374
Gambarogno,5073,51.7,97.9,46.13308,8.81515
Gampel-Bratsch,1906,23.1,82.5,46.3120223,7.7127724
Gampelen,802,10.8,74.1,47.014664,7.0578947
Gams,3215,22.3,144.2,47.2039131,9.4413218
Gansingen,1000,8.8,114.0,47.5432404,8.133845
Gebenstorf,4894,5.7,866.2,47.4842267,8.2419897
Gelterfingen,249,3.5,71.3,46.841423,7.5165462
Gelterkinden,5754,9.8,587.7,47.4656125,7.8560314
Geltwil,194,3.3,58.8,47.2492718,8.3222253
Gempen,854,6.0,142.3,47.475503,7.6588368
Gempenach,287,1.7,169.8,46.9405839,7.1974772
Genève,191557,15.9,12024.9,46.2043907,6.1431577
Genolier,1815,4.9,372.7,46.4349956,6.217922
Genthod,2736,2.8,953.3,46.2644048,6.1546616
Gerlafingen,4936,1.9,2668.1,47.1707295,7.5731416
Geroldswil,4764,1.9,2468.4,47.4239976,8.4117709
Gersau,2169,14.4,150.9,46.9918509,8.5253552
Gerzensee,1179,7.8,151.3,46.8388568,7.5444555
Gettnau,1035,6.0,170.5,47.1413003,7.9725332
Geuensee,2625,6.4,407.0,47.1984194,8.1084178
Giebenach,1068,1.3,797.0,47.5231661,7.7449933
Giez,391,4.8,82.0,46.81201,6.6183
Giffers,1466,5.2,281.4,46.7615548,7.2100289
Gilly,1052,7.7,135.6,46.4576159,6.2983682
Gimel,1885,18.9,99.8,46.5089236,6.3070078
Gingins,1206,12.6,95.9,46.4109047,6.1785861
Giornico,876,19.5,45.0,46.4019229,8.8772098
Gipf-Oberfrick,3509,10.2,344.7,47.4981196,8.0033184
Gisikon,1123,1.1,1039.8,47.1276261,8.4012374
Giswil,3555,85.9,41.4,46.838212,8.1872814
Giubiasco,8561,6.2,1374.2,46.172106,9.0103933
Givisiez,3146,3.5,909.2,46.8128615,7.1316578
Givrins,980,4.0,246.9,46.428946,6.2018779
Gland,12087,8.4,1452.8,46.4203001,6.2698809
Glarus,12422,103.6,119.8,47.0404265,9.0672085
GlarusNord,17335,147.0,118.0,47.1,9.066667
GlarusSüd,9836,430.2,22.9,46.9942779,9.0748585
Glattfelden,4647,12.3,377.2,47.5598578,8.4993768
Gletterens,954,2.9,326.7,46.8949432,6.9371559
Gnosca,718,7.5,96.4,46.2330492,9.022594
Göschenen,440,104.1,4.2,46.6681092,8.5894896
Golaten,313,2.8,111.8,46.9860817,7.2429887
Goldach,9267,4.7,1971.7,47.4788311,9.4700004
Gollion,792,5.5,145.6,46.5852808,6.5067932
Gommiswald,4979,33.6,148.4,47.2351911,9.0220567
Gondiswil,745,9.4,79.5,47.1457854,7.8721739
Gonten,1445,24.7,58.5,47.3267921,9.3446023
Gontenschwil,2038,9.8,209.2,47.2801607,8.1447557
Gordola,4480,7.0,636.4,46.1809063,8.8608089
Gorduno,747,9.2,81.0,46.216555,9.0345622
Gorgier,2001,14.0,143.1,46.9037505,6.7809412
Gossau(SG),18087,27.5,657.5,47.4155608,9.248852
Gossau(ZH),9714,18.3,531.7,47.3064531,8.7586121
Gottlieben,306,0.4,927.3,47.6635399,9.1348964
Goumoëns,934,10.7,87.4,46.65,6.6
Graben,317,3.2,100.3,47.2233663,7.7249653
Grabs,6982,54.7,127.7,47.1825657,9.4440433
Grächen,1396,14.3,97.5,46.1965853,7.8397911
Gränichen,7185,17.3,416.8,47.3621015,8.0980292
Grafschaft,183,22.6,8.1,46.4553356,8.2169557
Grancia,505,0.6,801.6,45.9684104,8.9279925
Grancy,406,5.7,71.4,46.5920275,6.4642847
Grandcour,822,10.2,80.5,46.8718572,6.9281823
Grandevent,226,3.5,65.5,46.8385716,6.6067599
Grandfontaine,381,8.9,42.4,47.3906667,6.9387278
Grandson,3202,7.9,407.4,46.8092091,6.6457678
Grandval,362,8.2,43.9,47.283506,7.4252746
Grandvillard,772,24.2,32.0,46.540928,7.0861428
Granges(Veveyse),829,4.5,185.9,46.5246606,6.8294732
Granges-Paccot,3102,4.0,775.5,46.8222963,7.1509438
Grangettes,197,3.4,59.5,46.6785451,6.9619199
Gravesano,1243,0.6,1801.4,46.0409737,8.9233052
Greifensee,5308,2.3,2287.9,47.3665785,8.6794982
Grellingen,1786,3.3,539.6,47.4409994,7.5905459
Grenchen,16401,26.1,630.6,47.1922876,7.3958907
Greng,176,1.0,181.4,46.9135672,7.0889418
Grengiols,464,58.5,7.9,46.3723502,8.0929038
Grens,380,2.6,148.4,46.3931344,6.1908042
Greppen,1043,3.3,314.2,47.0539198,8.430628
Gresso,41,11.1,3.7,46.2248687,8.6118664
Gretzenbach,2531,5.8,436.4,47.3603017,7.9951019
